date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:43:30	97608/97608	---M--	200	added ('OK')	application/font-sfnt	etag:%2217d48-5632cd0d9dbbb%22	https://sphereidentity.com/themes/Icu2/sphere/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/themes/Icu2/sphere/webfonts/fa-solid-900.ttf	(from https://sphereidentity.com/sites/default/files/css/css_wUNuVmuz6cxLESFN8AyffSiT3MM5j0QizLGmA08hjD8.css?p82rqt)
08:43:31	362810/362810	---M--	200	added ('OK')	image/svg+xml	etag:%225893a-5632cd0c37547%22	https://sphereidentity.com/themes/Icu2/sphere/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/themes/Icu2/sphere/webfonts/fa-solid-900.svg	(from https://sphereidentity.com/sites/default/files/css/css_wUNuVmuz6cxLESFN8AyffSiT3MM5j0QizLGmA08hjD8.css?p82rqt)
08:43:32	121946/121946	---M--	200	added ('OK')	image/jpeg	etag:%221dc5a-5632ccaefec00%22	https://sphereidentity.com/themes/Icu2/sphere/images/2-Video-Placeholder.jpg	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/themes/Icu2/sphere/images/2-Video-Placeholder.jpg	(from https://sphereidentity.com/sites/default/files/css/css_wUNuVmuz6cxLESFN8AyffSiT3MM5j0QizLGmA08hjD8.css?p82rqt)
08:43:32	104904/104904	---M--	200	added ('OK')	application/font-sfnt	etag:%22199c8-5632cd111958d%22	https://sphereidentity.com/themes/Icu2/sphere/webfonts/HelveticaNeue.ttf	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/themes/Icu2/sphere/webfonts/HelveticaNeue.ttf	(from https://sphereidentity.com/sites/default/files/css/css_wUNuVmuz6cxLESFN8AyffSiT3MM5j0QizLGmA08hjD8.css?p82rqt)
08:43:32	20200/20200	---M-Z	200	added ('OK')	text/html	etag:%221525448271-gzip%22	https://sphereidentity.com/ar/node/7	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ar/node/7.html	(from https://sphereidentity.com/ar)
08:43:33	14842/14842	---M-Z	200	added ('OK')	text/html	etag:%221525255687-gzip%22	https://sphereidentity.com/ar/node/6	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ar/node/6.html	(from https://sphereidentity.com/ar)
08:43:33	20199/20199	---M-Z	200	added ('OK')	text/html	etag:%221525448299-gzip%22	https://sphereidentity.com/ru/node/7	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ru/node/7.html	(from https://sphereidentity.com/ru)
08:43:34	14842/14842	---M-Z	200	added ('OK')	text/html	etag:%221525448283-gzip%22	https://sphereidentity.com/ru/node/6	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ru/node/6.html	(from https://sphereidentity.com/ru)
08:43:34	20265/20265	---M-Z	200	added ('OK')	text/html	etag:%221525409964-gzip%22	https://sphereidentity.com/zh-hans/node/7	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/zh-hans/node/7.html	(from https://sphereidentity.com/zh-hans)
08:43:35	14907/14907	---M-Z	200	added ('OK')	text/html	etag:%221525448307-gzip%22	https://sphereidentity.com/zh-hans/node/6	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/zh-hans/node/6.html	(from https://sphereidentity.com/zh-hans)
08:43:35	20200/20200	---M-Z	200	added ('OK')	text/html	etag:%221525341573-gzip%22	https://sphereidentity.com/ur/node/7	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ur/node/7.html	(from https://sphereidentity.com/ur)
08:43:36	14842/14842	---M-Z	200	added ('OK')	text/html	etag:%221525334582-gzip%22	https://sphereidentity.com/ur/node/6	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ur/node/6.html	(from https://sphereidentity.com/ur)
08:43:36	20200/20200	---M-Z	200	added ('OK')	text/html	etag:%221525286761-gzip%22	https://sphereidentity.com/ml/node/7	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ml/node/7.html	(from https://sphereidentity.com/ml)
08:43:37	14842/14842	---M-Z	200	added ('OK')	text/html	etag:%221525246368-gzip%22	https://sphereidentity.com/ml/node/6	C:/My%20Web%20Sites/xidsphere/sphereidentity.com/ml/node/6.html	(from https://sphereidentity.com/ml)
